peopleNumber,collectionNumber,description,recipeIngredient,step,tip,href,title,typeTitle,difficulty,timeAssume,author,numOfComments,authorOfComments
15741,233,无,猪大排骨&:500克$辣酱油&:适量$大蒜头&:少量$盐&:少许$芝麻酱&:少许$番茄酱&:少许$醋&:少许$菱粉&:少许$麻油&:少许$鸡蛋白&:2只$咖喱粉&:少许$芥末&:少许$胡椒粉&:少许$黄酒&:少许$白糖&:少许$酱油&:少许$,* 将排骨切成20多块长方块。* 将菱粉、酒、盐、蛋白各少许调和在一只小碗里；再将芝麻酱、番茄酱、辣酱油、咖喱粉、芥末、糖、酒、盐、胡椒粉、麻油、酱油、醋调和在另一只碗里。* 开温火热猪油（500克）锅，将排骨放入菱粉、蛋白糊里抓一抓，再放入油锅氽熟，然后将排骨取出，滤去油，盛在盘中。锅里的油也同时倒出。* 将大蒜头拍碎，下原热锅炒香，倒入调和盛有芝麻酱、番茄酱等调料的小碗里，一起浇在排骨上即好。色金黄，味香甜酸辣俱全。*,色金黄，味香甜酸辣俱全。,5841,醉排骨,闽菜,配菜(中级),1小时以上,宠儿,3,$u35515648262454&:菱粉是啥？$u35515648262454&:这个加了芥末，味道应该很独特吧？$u56445241&:不错
12612,193,无,鸡块&:null$西红柿&:null$西兰花&:null$大葱&:适量$姜&:适量$盐&:少许$生抽&:适量$料酒&:适量$糖&:2片$香叶&:适量$,* 鸡块入冷水锅中焯下，然后过凉水* 西红柿切小块，大葱切小段 ，姜切片，西兰花切小朵* 水烧开放入西兰花焯熟过凉待用* 锅烧热放入西红柿翻炒至出红水，加入鸡块，盐，生抽，料酒.葱姜.糖，香叶反复翻炒至西红柿成碎末* 加入清水，(沫过鸡块即可) ，水开后小火20分钟，最后淋入香油即可出锅*,舞语：,7059,番茄鸡块---酸酸甜甜好滋味,闽菜,切墩(初级),10分左右,舞之灵1027,3,$u62514097749367&:鸡肉焯水的时候可以放点生姜和料酒$u99240908&:这个味道应该不错，可以试一下$sdsdsnake&:我特喜欢吃番茄口味的菜~这个菜学习了，一定试试
16214,274,无,螃蟹&:1斤$嫩豆腐&:1块$姜片&:适量$盐水&:适量$,* 螃蟹洗净，打开壳将身子切成四分* 豆腐用盐水浸泡后沥干，切成薄片码在盘子上* 可在豆腐上铺上姜片，摆上螃蟹，包上保鲜膜，入开水锅中蒸熟即*,无,5847,芙蓉蒸蟹,闽菜,切墩(初级),30-45分钟,舞之灵1027,6,$u78415976716728&:图传不上$u50164468&:[quote]美丽果 于2009-11-09 16:11:26说：这个方法很赞！蟹味豆腐~~[/quote]\n是的，原汁原味呢$yxxy28&:这个方法很赞！蟹味豆腐~~$allen&:我老婆超喜欢吃螃蟹！我也喜欢$u50164468&:[quote]宠儿 于2009-11-07 22:08:23说：买回不理想的蟹怎么办?是说用这种方式蒸蟹能更好么？[/quote]是的，这样豆腐吸收了螃蟹的鲜味，味道就更赞了.新鲜的没有肉，但用其它炒制的方法处理太可惜了哈$laolv&:买回不理想的蟹怎么办?是说用这种方式蒸蟹能更好么？
30080,361,无,小平菇&:100g$肉&:100g$胡萝卜&:适量$黄瓜&:适量$洋葱&:适量$蒜末&:适量$盐&:少许$料酒&:少许$湿淀粉&:少许$生抽&:少许$糖&:少量$油&:少许$,* 肉切成小片，用盐，料酒和湿淀粉腌制下* 小平菇用手撕成小片，入热水中灼下沥干水* 锅烧热，将肉片放入过下油，看肉片白了即可捞起控油* 冷锅入蒜末爆香，放入洋葱炒香，接着放入小平菇，胡萝卜片用中火炒* 加入生抽，盐，糖，最后放入肉片和黄瓜翻炒片刻，加入鸡精即可装盘.好了可以吃饭啦.*,无,5261,小平菇炒肉片,闽菜,切墩(初级),10-30分钟,舞之灵1027,0,无
30140,354,无,鲜香菇&:适量$肉&:适量$虾仁&:适量$蛋&:适量$葱末&:少许$香油&:少许$盐&:少许$水淀粉&:少许$,* 肉和虾仁揉碎均匀，加入蛋，调味料和葱末顺着一个方向搅拌至粘稠* 鲜香菇剪蒂背部划十字刀，用盐，糖和水淀粉勾芡汁待用* 在香菇上洒盐，和生粉，填入馅，最后在上面涂上蛋液* 平底锅烧热油放入香菇肉盒(肉面朝下)，转小火煎至微黄* .翻面再稍微煎虾，加入欠汁煮至汁收差不多，淋上香油即可*,无,5427,香菇肉盒,闽菜,切墩(初级),10,舞之灵1027,3,$u27752163524496&:这道菜我喜欢，只是做法说得不够详细，配上图就好了。$u50164468&:[quote]小甘 于2009-09-26 10:03:31说：好似很好吃喔，，今天中午要做这个[/quote]\n希望你能喜欢$u49729785&:好似很好吃喔，，今天中午要做这个
22737,396,无,草鱼肉&:200克$番茄&:150克$鸡蛋清&:1个$清汤&:100克左右$料酒&:少许$水淀粉&:少许$味精&:适量$葱段&:适量$盐&:少许$姜末&:适量$油&:适量$,* 鱼斜刀切成3厘米，宽2厘米左右的片（我请卖鱼的弄得），用盐，料酒，鸡蛋清，水淀粉上浆腌渍待用* 将番茄烫过去皮，切成与鱼片同样大小的块待用* 锅内热油放鱼片溜呈白色捞出* 锅内留底油，下葱段，姜末爆香，放入番茄，料酒，盐，味精，汤，用水淀粉勾芡* 加入鱼片，淋入麻油即可。*,此菜鱼片滑嫩，番茄酸甜，非常的清淡鲜美呢,5259,番茄溜鱼片,闽菜,配菜(中级),30-45分钟,舞之灵1027,4,$manyou&:昨天试了，很好吃的，徒弟吃了，马上打电话给她老爸晚上烧这道菜，$u50164468&:[quote]薰衣草 于2009-09-15 12:50:57说：南方就是方便，现成的鱼片[/quote]\n是的，姐姐，我们这里吃海鲜方便的很$dingjiecetc8857&:真好$dingjiecetc8857&:南方就是方便，现成的鱼片
14026,147,无,白萝卜&:2根$六月香豆瓣酱&:少许$盐&:少许$糖&:少许$鸡精&:适量$醋&:少许$香油&:少许$小红辣椒&:少许$,* 将白萝卜洗净削皮纵向剖成2半，辣椒切成颗粒* 然后改刀成半型片（一刀虚、一刀实），用盐腌制15分钟左右，取出将萝卜水分挤干*,舞语：,8256,香油酱萝卜---平民版养生好食材,闽菜,切墩(初级),10-30分钟,舞之灵1027,3,$u63284478&:我们那里有句话“吃上萝卜喝上茶，气得大夫满地爬！”萝卜确实要常吃，各种萝卜对身体都很棒！[开心]$u61127536&:好吸引哦~ 真羡慕你们吃香的还喝辣的，可能南方的水土不适合吃太多辣的吧，吃了容易上火~~$u61564286&:赏心悦目，真想来一块尝尝！腌菜也能如此精致，专家就是不一样，佩服佩服！
27947,546,无,去皮猪后腿肉&:500克$葱段&:2节$姜片&:2片$大料（八角）&:少许$料酒&:15ML$白糖&:10克$咖喱粉&:20克$生抽&:20ML$盐&:5克$油&:1勺$,* 猪后腿肉洗净，去除所有肥肉和筋膜，仅留瘦肉部分* 肉放入锅中，加入2节葱段、2片姜片，几料大料，加足够的水，大火煮沸后，转小火煮3小时，用筷子可以轻松扎透即可。煮的过程中如有泡沫要撇出* 肉煮好后捞出沥干水分* 将肉掰成小块，再撕成细丝，尽量使每一根粗细均匀* 撕好的肉丝，要马上进行炒制* 锅中倒入一勺油，约15ML* 然后将肉丝均匀地铺在锅中，将火调至最小* 加入盐、生抽、料酒、白糖和咖喱粉* 不断翻炒，肉丝中的水分会慢慢蒸发掉* 不停翻炒约30分钟，肉丝越来越干并蓬松，颜色金黄即可* 炒好的肉松要趁热摊开晾凉，摊开面积越大越好，不要使肉松堆积，彻底晾凉后即可装瓶密封*,1、制作肉松并不难，但是很费时间，撕肉丝的过程是最挑战耐性的。最好家人一起参加撕肉松游戏，一边撕一边玩，慢慢就会完成。,4286,自制肉松,闽菜,配菜(中级),1小时以上,风中彩虹,5,$u10961140447956&:这个一定要做！ $u0673329286993&:是不是   我炒的时候没有放调味料的原因呢   所以  味道也没有卖的好呀$u0673329286993&:亲  我做的色泽没有你的好    而且   有点干   求赐教啊～$u27321276&:必须用后猪腿肉吗？里脊肉之类不可以吗？$u15756964&:喜欢肉松。
36462,369,无,里脊肉&:null$木耳&:适量$西红柿&:适量$花瓶菜&:适量$葱&:少许$姜&:少许$香菜&:适量$盐&:少许$红薯淀粉&:适量$味精&:少许$蛋清&:半个$胡椒粉&:少许$,* 将里脊肉切薄片，用水冲洗洁白，加盐、胡椒粉，红薯粉用凉水调匀后放入 热水锅中隔水不停搅拌至粘稠，取出趁热放入肉片中拌匀腌制20分钟* 另外再准备一份用凉水和红薯粉对开的糊，再加入蛋清拌匀；* 锅中水开后转小火将肉片逐个下入，煮至定形，捞出过凉水沥干备用；* 热锅倒入少许油，下葱姜末爆香，倒入高汤(没有用清水），调入盐，加入木耳、西红柿、烧开后将滑肉和花瓶菜放入略煮，出锅前加入香菜，点入味精和香油 即可。*,舞语：,6183,白玉滑肉羹---附如何做出洁白滑嫩的肉片,闽菜,配菜(中级),10-30分钟,舞之灵1027,7,$u04595686328522&:就是，怎么没说第二道将怎么用？$u62459409246158&:怎么没说第二次调的红薯粉糊怎么用？$u57817601&:流口水了都\n有时间要试试$u50164468&:[quote]小七 于2009-11-26 09:29:18说：原来嫩滑的肉片是这么做出来的啊！我也感同楼上，十分受用[/quote]\n希望对你有帮助$u58082369&:[quote]小七 于2009-11-26 09:29:18说：原来嫩滑的肉片是这么做出来的啊！我也感同楼上，十分受用[/quote]看上去很有食欲呀！$u56452418&:原来嫩滑的肉片是这么做出来的啊！我也感同楼上，十分受用$laolv&:小贴士太有用啦 受教受教了！
23779,483,无,鱼片&:null$蛋&:1个$油菜&:3颗$西红柿&:半个$青瓜&:少许$,* 大块草鱼取中段；由肚腩处切开取中骨，切忌不可将鱼肉切断为两边块；* 将鱼块平铺，先竖刀再45度斜刀，上蛋上生粉，切记每个刀口里都要涂满生粉，否则炸时鱼肉不会形成颗粒，会连在一起；* 在炒锅内，倒入3分1多一点高度的花生油，滚油下锅炸，金黄捞出；油菜捞熟，和鱼拼成菠萝状；* 锅中下鸡汤，盐，味精，葱花，西红柿碎，青瓜碎，白醋，多糖，番茄酱，生粉勾芡浇之即可。*,无,4928,金玉菠萝鱼---美丽厨娘,闽菜,配菜(中级),10分左右,舞之灵1027,16,"$u74759548615220&:咋没个图片看一下鱼片怎么弄的$u10961140447956&:这个超级火啊最近！ $u91933457704315&:你太厉害了，崇拜 $u77264096295627&:一看就知道好吃$u64287775470669&:好吃，久是费油$u33788370661623&:看上去挺诱人食欲的$u50164468&:@<A class=""blue replyTo"" href=""http://www.douguo.com/u/u71953324.html"">勾勾手指发誓</A> 是哦$u50164468&:@<A class=""blue replyTo"" href=""http://www.douguo.com/u/maohelaohu.html"">*~LAZY貓儿~*----De快乐生活</A> 谢谢您的支持$maohelaohu&:[爱]喜欢鱼肉鲜甜的味道 做得很棒哦$u71953324&:是不是糖醋味的$u53196586&:刀路跟刻鱿鱼的一样. 头脑灵动，合乎.`$u50164468&:[quote]菜菜 于2009-08-31 20:40:10说：做得很象样[/quote]\n呵呵，我也这么认为$u50164468&:[quote]大叔 于2009-08-13 21:35:56说：赏心悦目啊！[/quote]\n谢谢$u50980822&:做得很象样$dingjiecetc8857&:好吃$sdsdsnake&:赏心悦目啊！"
32369,480,无,黄豆&:一杯$黑芝麻&:1/3杯$燕麦&:半杯$,* 原料:黄豆一杯(九阳自带的杯)   燕麦半杯   黑芝麻1/3杯*做法:1.事先将黄豆浸泡3-4小时(我一般都是睡前泡的)*     2.将浸泡好的黄豆洗净，滤干，和燕麦，黑芝麻一起放入豆浆机中，加入等量的水(机上有标刻度的) *     3.接上电源，按下五谷豆浆，然后俺就刷牙洗脸去了*     4.十几分钟后，豆浆机结束工作，发出煮好的鸣叫信号，就可以喝了(喜欢甜的可以加点糖或蜂蜜哦) *,关于燕麦:,5627,燕麦黑芝麻豆浆,闽菜,切墩(初级),20,舞之灵1027,2,$u37936037270083&:不错吆 $cu34304004&:豆浆加蜂蜜会引起腹胀，甚至耳聋的
51007,621,无,草鱼片&:null$面条&:null$葱&:适量$蒜&:适量$青红椒&:适量$香菇&:适量$酱油&:适量$糖&:适量$醋&:少许$胡椒粉&:少许$麻油&:少许$,* 先将草鱼洗净后去头去骨，取出净肉，斜切成薄鱼片，(我请卖鱼的片的)，用少许酒和盐腌10分钟。葱切珠，蒜切末，青红椒、香菇、冬笋切成小粒。* 面条放锅里煮熟捞起，沥干后拌入少许麻油及盐，铺在盘底。* 锅里水烧开，将鱼放入大碗，用开水冲入烫片刻。水倒掉，再用开水冲一遍，烫熟。鱼取出摆在面条上，撒上胡椒粉。* 锅里放油，入葱、蒜、青红椒、香菇、冬笋翻炒，再调入酱油、糖、醋、胡椒粉、麻油，用淀粉勾芡成浓汁浇在鱼上即可。*,1、怕鱼腥味的可在滚水中加姜、酒；,4981,软溜草鱼片-----美丽厨娘,闽菜,配菜(中级),1小时以上,舞之灵1027,2,$u44389819523215&:我们去买$u07908461592328&:照片在哪找滴
24206,363,无,青口&:null$豆豉酱&:少量$红尖椒&:少许$姜&:适量$葱&:适量$蒜&:少许$,* 青口入开水中烫直口微开即可捞出，取出肉待用* 红尖椒切粒，姜葱蒜切末待用* 热锅冷油爆香姜葱蒜末，加入豆豉酱和红尖椒炒香，* 加入青口和少许清水继续翻炒，烹入料酒，加入糖，盐翻炒均匀即可*,舞语：,7789,酱爆青口,闽菜,切墩(初级),30-45分钟,舞之灵1027,4,$u50164468&:[quote]ceray 于2010-02-21 17:49:41说：卖相太棒了，看着就流口水哈~[/quote]\n谢谢您的支持$u50164468&:[quote]大叔 于2010-02-21 14:04:30说：好肥美的青口啊！好久没见，新年快乐！[/quote]\n新年快乐哈，过年懒了一段时间呢$u61564286&:卖相太棒了，看着就流口水哈~$sdsdsnake&:好肥美的青口啊！好久没见，新年快乐！
27505,547,无,牛筋&:200克$土豆&:100克$生姜&:适量$葱花&:适量$料酒&:少许$白糖&:少许$精盐&:少许$味精&:少许$酱油&:适量$大料&:适量$花椒&:适量$干辣椒&:适量$植物油&:适量$,* 牛筋洗净切条，土豆去皮洗净，切滚刀块。* 锅内冷油入花椒和干辣椒爆香，然后取出剩油* 放入生姜、大料和牛筋块煸炒，加绍酒、酱油、白糖、清水浸过牛肉块，汤汁煮开后改中火煮10分钟左右，倒入土豆块续焖15分钟至熟，加精盐、味精、葱花即成*,舞语:,5702,土豆烧牛筋 ----原来牛筋不会难嚼啊,闽菜,切墩(初级),10-30分钟,舞之灵1027,8,$u78354231421991&:经过我的实践，高压锅一个小时10分钟，差不多就好了$u78354231421991&:生牛筋炖多久就刚好开始做这个菜啊$allen&:牛筋炖时间长一点会很烂，而且而很劲头！好吃！$u50164468&:[quote]大叔 于2009-10-23 09:16:45说：把生牛蹄筋煮到口感合适真挺难的，我老把握不好~[/quote]\n你更厉害，我只买半成品回来加工$sdsdsnake&:[quote]美丽果 于2009-10-23 15:14:38说：我要挑战高压锅做牛蹄筋，我们那儿都流行吃筋头巴脑的嘿嘿[/quote]有道菜叫筋头巴脑一锅亲 哈哈$yxxy28&:我要挑战高压锅做牛蹄筋，我们那儿都流行吃筋头巴脑的嘿嘿$allen&:我也喜欢吃牛蹄筋，有劲道！$sdsdsnake&:把生牛蹄筋煮到口感合适真挺难的，我老把握不好~
10811,199,无,小虾仁150克&:null$香菇5朵&:null$豌豆150克&:null$胡萝卜1个&:null$鸡蛋1个&:null$白米饭300克&:null$番茄酱15克&:null$蚝油1勺&:null$酱油1勺&:null$土豆淀粉2勺&:null$鸡精&:null$盐&:null$清水适量&:null$食用油&:null$香油&:null$白胡椒粉&:null$,*   蔬菜洗净，胡萝卜去皮，和香菇一道切成小丁，豌豆和胡萝卜丁入沸水焯一下，捞出待用；*   将鸡蛋打成蛋液，小虾仁挑去虾线，洗净拭干；*   炒锅放油，油热之后下鸡蛋液，用筷子顺时针搅打成小花，加入白米饭炒至鸡蛋花与米粒松散，撒上适量的盐和鸡精，调味混合均匀，盛盘；*   炒锅放油，油热之后下小虾仁，大火饭炒至弯曲，变色至熟，然后捞出待用；*   将2勺土豆淀粉放入碗中，加入清水，调成厚薄适中的芡汁；*   取炒锅放底油，油热之后下香菇丁、虾仁以及焯好的胡萝卜丁和豌，大火翻炒片刻，兑入适量的高汤或热水，水量以莫过食材一点为宜，待水沸之后，加入盐、鸡粉、番茄酱、生抽、老抽和蚝油调味；*   最后兑入调好的土豆淀粉芡汁，出锅前加上点香油和白胡椒粉调味，即可食用。*,无,9953,福建炒饭,闽菜,配菜(中级),30-45分钟,水容器,0,无
82768,621,无,小黄鱼&:适量$姜片&:适量$植物油&:适量$盐&:少许$味精&:少许$料酒&:少许$,* 小黄鱼去内脏和头洗净后沥干水分，并用盐、味精、料酒涂末均匀，腌制1小时;* 锅中倒入适量的植物油，开小火，爆香姜片、用中火，逐一放入小黄鱼在油中煎，煎至鱼身两面均匀为金黄色，沥干油份盛出* 把煎好的小黄鱼整齐码入盘中即可*,无,5049,香煎小黄鱼--美丽厨娘,闽菜,切墩(初级),10-30分钟,舞之灵1027,9,"$u48326006744002&:鱼表面是裹淀粉了么？我煎不出酥酥的感觉$u55735039228562&:@<a href=""/u/u50980822.html"">菜菜00000096</a> 阿门$u65739548448545&:关键是用小火，不然就糊了！$u53196586&:还可以怎么做小鱼的，   我天天都在煎小鱼..$u51179282&:一般化，也支持一个$dingjiecetc8857&:我家里经常喜欢吃酥炸小黄鱼，从来没有这样炸过，都是沾干淀粉，所以这个小黄鱼感觉炸得不错，挺有卖相的。我都不敢这样炸。$dingjiecetc8857&:做得很好$u50980822&:小鱼煎的很技术"
14824,302,无,新鲜鱿鱼&:null$米饭&:null$薄荷&:null$洋葱末&:null$蒜末&:null$蔬菜&:null$盐&:适量$色拉油&:适量$黑胡椒粉&:适量$,* 将鱿鱼内脏去除，除去薄膜，并且清洗干净待用，绿叶蔬菜入开水中焯下过凉剁碎* 锅内炒香洋葱末和蒜末，放入米饭，加入盐和鸡精翻炒均匀，盛出 .* 将薄荷切碎和蔬菜一起放入炒好的米饭中搅拌均匀.* 中加入色拉油，黑胡椒粉混合后填入鱿鱼中，填后用牙签封口.* 然后在鱿鱼筒表面再撒些盐和黑胡椒腌制5分钟左右 .* 锅内入油，小火将鱿鱼筒放入煎至2面金黄即可，冷却后改刀就可以食用啦*,舞语：,9367,薄荷鱿鱼筒,闽菜,切墩(初级),10-30分钟,舞之灵1027,6,$u61112305147685&:看着很好吃但薄荷也买不到$u12301033&:这道菜我喜欢，学习了。$u76739472&:[哭]$u60700926&:@好吃好吃的 烤的话，米饭怎么办？会不会糊了？$u69150855&:如果用烤箱烤制的话可以么？$u69523035&:填米饭是个技术活。。。
21197,462,无,红鲢鱼头&:null$豆腐泡&:null$豆豉&:适量$葱&:适量$姜&:适量$蒜&:少许$,* 鱼头洗净从中间剖成2半，用盐，料酒腌制15分钟* 姜蒜切片，葱切成寸断* 热锅冷油入姜蒜爆香，加入豆豉和葱白炒香* 放入鱼头将2面煎至微黄* 烹入料酒，加入盐，糖，胡椒粉，放入豆腐泡，加入适量的水* 大火烧开转小火煲至鱼头熟透，撒上葱段即可*,舞语：,7489,豉香鱼头豆腐煲,闽菜,切墩(初级),10-30分钟,舞之灵1027,5,$u51706640411874&:$u96521572735217&:正宗$yxxy28&:再来点手撕饼泡汤吃，美死了$u61564286&:鱼和豆腐的经典搭配，美味又营养，绝对是一道不能错过的好菜！$laolv&:好棒的鱼头！
15577,445,无,冬笋&:1根$鸭（家养的）&:1只$姜片&:适量$盐&:少许$料酒&:少许$高汤精&:少许$,* 鸭肉洗净切成小块，入冷水锅中加入姜片焯去血水。 焯好的鸭肉用冷水清洗干净。* 冬笋切成滚刀状入锅中煮开捞起过凉水* 将鸭肉、笋块、姜片一起放入砂锅中，加入适量的料酒煲3-4小时（根据鸭肉和水量）* 食用前加点盐，料酒和少许的高汤精即可*,舞语：,8255,冬笋鸭汤---春季养生重饮食,闽菜,切墩(初级),1小时以上,舞之灵1027,4,$u63284478&:这个很适合我，我喜欢这种养生级别的，哈哈小豆无敌！$u69348603&:恩！很适合我们的口味，闽菜和台菜都是同一系列的，闽菜还是台菜的祖宗呢！$u61564286&:“春季养生重饮食”这句话讲得太精辟了！煲上这样一锅靓汤，健康快乐的享受这个春天吧！$sdsdsnake&:好精致的汤啊[牛][牛]
19959,609,无,草鱼&:1条$蒜&:适量$酸菜料包&:适量$辣椒&:少许$葱白&:适量$姜片&:适量$,* 鱼肉事先片成片(可以请卖鱼的代劳哈)，蒜姜切片，葱白切寸段* 鱼片用料酒，盐，蛋清和淀粉腌制15分钟以上，鱼头尾用料酒和盐腌制* 锅内入油放入姜蒜片和葱白爆香，然后放入现成的酸菜翻炒至出香味* 加入鱼头尾继续翻炒，烹入料酒，加入盐和辣椒，水烧开* 将鱼头尾先捞出，然后在锅内放入鱼片，看鱼片呈白色即可* 将鱼片和汤汁一起倒入刚才的鱼头尾碗内，撒上葱段香菜即可*,舞鱼:,7139,酸菜鱼,闽菜,切墩(初级),30-45分钟,舞之灵1027,5,$u35256119524247&:明天就尝试做这道菜。$u18747932&:哗!好想吃哦$u63367362&:我喜欢的菜$u50164468&:[quote]大叔 于2010-01-11 19:46:35说：这种酸菜料包超市里都有是么？[/quote]\n是的，很方便吧$sdsdsnake&:这种酸菜料包超市里都有是么？
183499,793,无,鲜鱿鱼&:一斤$青椒&:3个$胡萝卜&:适量$蒜&:少许$姜&:少许$料酒&:适量$味精&:少许$,* 鱿鱼买回剥除外衣，将内脏之类 小心取出，注意不要弄破墨胆.* 鱿鱼洗净切成圈，爪子切成条，放入开水锅中迅速捞下待用(开水中加姜片可以去腥)* 青椒切块，胡萝卜切片* 热锅冷油入姜丝和蒜片爆香，加入胡萝卜翻炒几下* 大火加入青椒和鱿鱼快速翻炒，加入料酒，盐和味精即可出锅.*,鱿鱼中含有丰富的钙、磷、铁元素，对骨骼发育和造血十分有益，可预防贫血。鱿鱼除了富含蛋白质及人体所需的氨基酸外，还是含有大量牛黄酸的一种低热量食品。可抑制血中的胆固醇含量，预防成人病，缓解疲劳，恢复视力，改善肝脏功能。其含的多肽和硒等微量元素有抗病毒、抗射线作用。中医认为，鱿鱼有滋阴养胃、补虚润肤的功能。,5315,青椒炒鱿鱼,闽菜,切墩(初级),30-45分钟,舞之灵1027,6,$u83570018771033&:好想吃哦！$u78520992316022&:试试看$u37521862&:喜欢，刚才去超市还在想鱿鱼要怎么吃才好呢..$u57139436&:鱿鱼呀~口水哗啦哗啦流$u50164468&:[quote]萝卜心 于2009-09-10 21:26:05说：好漂亮啊 [/quote]\n而且好吃又营养 $leslee&:好漂亮啊 
26000,695,无,豆芽&:null$紫菜&:null$葱&:null$蛋&:null$面粉&:null$粘米粉&:null$姜末&:适量$盐&:少许$味精&:少许$胡椒粉&:适量$香油&:适量$,* 紫菜泡发切成小碎片(这个紫菜也是我们这里的海产，一点沙都没有哦).豆芽掐成2段，葱切末* 打入蛋加入调料，将所有材料和在一起拌匀成稀稠状* 热锅热油转小火倒入面糊，待一面凝固后翻面，煎至2面微黄即可*,关于紫菜:,6184,紫菜豆芽煎饼--户外美食,闽菜,切墩(初级),10分左右,舞之灵1027,8,"$u36926645232856&:没图片.....$u54843109855329&:@<a href=""/u/u56740505.html"">pinkfish</a> 福州有常做这个菜:-P好吃啊！$u62652973532941&:今天做了点，放了很多紫菜，味道还不错...$u56740505&:粘米是什么米？糯米？$u50164468&:[quote]讲饮讲食 于2009-11-26 13:49:45说：喜欢，收藏了，谢谢[/quote]\n不客气$u50164468&:[quote]小七 于2009-11-26 09:30:52说：营养精致的小饼~楼主是哪里人呀？海产那么优质？[/quote]\n福建哦$u51160740&:喜欢，收藏了，谢谢$u56452418&:营养精致的小饼~\n楼主是哪里人呀？海产那么优质？\n"
110325,1627,无,牡蛎&:null$豆腐&:null$姜&:适量$葱末&:适量$盐&:少许$淀粉&:适量$胡椒粉&:适量$香油&:适量$,* 牡蛎买回用盐水清洗干净，沥干水分* 豆腐用盐水浸泡后过热水* 热油放入姜末和葱白末爆香，加入清水和豆腐烧开* 牡蛎用淀粉抓匀，逐个放入锅中，开后沥掉表面浮沫* 加入盐，胡椒粉，撒上葱花，滴几点香油即可出锅*,关于牡蛎:,5285,牡蛎豆腐汤,闽菜,切墩(初级),10分左右,舞之灵1027,14,"$u198340804594&:包装好的干牡蛎可以这样做吗？怎么做啊？$u03706403849357&:@<a href=""/u/u03318698480487.html"">路易猫</a> 放盐水里浸就可以了，然后再用水冲洗下。，不需要去内脏，除了壳，其他的都可以吃$u03318698480487&:牡蛎要不要去内脏，沙子什么的。怎么清洗带壳鲜牡蛎？$u6343692060485&:$u6343692060485&:@<a href=""/u/u47274461901204.html"">特韵香茗</a> 木图片$u6343692060485&:赞$u74311253821144&:好！$u64700250125722&:好！$u47274461901204&:这不是福州菜的做法$u48230631550069&:此汤！鲜！味道很赞$u50164468&:[quote]灯影画皮 于2009-09-10 14:11:15说：直接这样煮牡蛎会不会把汤搞得有点腥味啊，要不要腌一下的啊[/quote]\n不用，这么新鲜的拿去腌就失了牡蛎的原味了，可惜.加姜丝和胡椒粉就可以去腥了$u52562705&:直接这样煮牡蛎会不会把汤搞得有点腥味啊，要不要腌一下的啊$u50164468&:[quote]海中沙 于2009-09-07 23:46:50说：用小牡蛎的味道应该也差不多吧？我们不太爱吃大牡蛎，而且市场上也是小牡蛎多一些[/quote]\n味道是一样的，大小凭个人喜好$u52337506&:用小牡蛎的味道应该也差不多吧？我们不太爱吃大牡蛎，而且市场上也是小牡蛎多一些"
52466,1462,无,牛柳&:null$胡萝卜&:null$洋葱&:null$蒜末&:适量$西兰花茎(辅料可选)&:null$,* 牛柳切成细条(与纹路相反的方向切哈) ，加入蚝油，料酒，淀粉，油腌制半小时左右* 胡萝卜，西兰花茎切片作为辅料，洋葱切成小块，蒜剁成碎* 锅烧热下冷油将牛肉划油至熟* 锅里留少许油煸蒜头米，加入洋葱块西兰花茎翻炒，加入少许水和蚝油兑的汁烧开，然后加入牛肉快速翻匀，淋入香油即可*,舞语:,6478,蚝油牛柳---如何炒出滑嫩的牛肉,闽菜,切墩(初级),10分左右,舞之灵1027,7,$u58343752948891&:牛肉片切好后加料酒、少许盐、生抽、清水适量，用手抓匀（给牛肉按摩），时间长点，把水分吃进去，再加干淀粉，加一个蛋清抓匀，加适量油封住水分，放入冰箱冷藏一小时后再烹饪，你试试看牛肉嫩不嫩？$u16626552706844&:不加水也不行$u86308632764403&:嫩肉粉含化学原料，少用为妙$u82248713488788&:教你招不用两小时就很嫩，面粉加啤酒二十分钟搞定，试试呗$u22406798&:用嫩肉粉会好点。$u61963686&:很难把牛肉炒得很嫩$u56452418&:舞语很贴心实用！是做好这道菜的重点
97549,3548,无,鲢鱼头&:null$嫩豆腐&:null$大葱&:3段$老姜&:3片$盐&:少许$胡椒粉&:适量$料酒&:适量$,* 鱼头洗净，从中间劈开，用纸巾蘸干鱼头表面的水分。嫩豆腐切成1cm厚的大块。* 煎锅中倒入油，待7成热时，放入鱼头用中火双面煎黄（每面约3分钟）。将鱼头摆在锅的一边，用锅中的油爆香大葱段和姜片后，加入料酒，倒入足量开水没过鱼头。* 盖上盖子，大火炖煮5分钟。然后转中小火煮15分钟，放入豆腐，调入盐和胡椒粉继续煮10分钟即可。*,鲢鱼头营养分析：,5189,鱼头豆腐汤--让你越吃越聪明,闽菜,切墩(初级),30-45分钟,舞之灵1027,7,$u8532123863238&:会不会太甜啊$u55001570938256&:时间不够，汤不白$u75905524155915&:烫怎么煮了不白$u39452330595392&:今天也试着做，现在已经放了豆腐，加了盐，等着起锅$u76003950281109&:油七成热怎么确定呀？$u69001632567166&:料酒倒多少
